0.wav,ay_er_iy_ah_iy
1.wav,ih_iy_ay_ih_uw
2.wav,ow_ih_uw_ah_ow
3.wav,ah_iy_ih_ow_ay
4.wav,uw_ih_uw_ay_ey
5.wav,ey_ih_er_aw_er
6.wav,iy_ey_ay_ow_ah
7.wav,ao_aw_ay_ay_ae
8.wav,eh_er_ah_uw_aa
9.wav,er_ay_ah_eh_aw
10.wav,p_aa_r_k_d_aa_r_y_aa_l
11.wav,k_aa_r_v_w_aa_ch_l_aa_r_jh
12.wav,z_aa_n_ch_aa_r_m_f_aa_r
13.wav,g_aa_t_hh_aa_r_t_t_aa_n
14.wav,aa_r_m_d_jh_aa_k_hh_aa_s
15.wav,m_aa_b_s_aa_l_v_s_aa_f_t
16.wav,l_aa_r_m_w_aa_d_d_r_aa_p
17.wav,n_aa_k_q_aa_z_b_aa_m
18.wav,s_k_ae_n_dh_ae_t_m_ae_n_s
19.wav,hh_ae_v_b_ae_k_t_ae_d_z
20.wav,l_ae_f_s_g_r_ae_s_y_ae_m
21.wav,jh_ae_ng_f_ae_k_t_th_ae_ng_k_s
22.wav,s_ae_ng_y_ae_m_k_q_ae_sh_t
23.wav,d_ae_l_y_ae_ng_s_k_ae_l_p
24.wav,g_l_ae_n_n_ae_p_ae_z
25.wav,k_ah_m_z_p_ah_r_ah_sh
26.wav,t_ah_ng_ah_hh_ah_n_t
27.wav,p_r_ah_w_ah_s_m_ah_ng
28.wav,ch_ah_ng_b_ah_th_ah_n
29.wav,g_ah_dh_ah_jh_ah_n_t
30.wav,z_ah_m_n_y_ah_d_ah_ch
31.wav,dh_ah_s_ah_t_n_ah_l_z
32.wav,k_ah_p_s_f_l_ah_b_ah_v
33.wav,sh_ah_f_f_ah_k_sh_ah_z
34.wav,v_ah_l_dh_q_ah_m_hh_ah_g_z
35.wav,s_p_ao_r_t_s_hh_ao_l_r_ao_ng_d
36.wav,s_k_ao_r_l_ao_f_ao_r_b_z
37.wav,t_ao_k_t_f_ao_r_d_y_ao_l
38.wav,q_ao_r_p_s_n_ao_r_th_d_ao_r_d
39.wav,th_ao_t_s_ao_ng_z_g_l_ao_s_t
40.wav,w_ao_r_m_th_b_ao_l_g_ao_r
41.wav,r_ao_ng_m_ao_n_w_ao_r_n_d
42.wav,b_aw_z_m_aw_dh_z_dh_aw
43.wav,t_aw_n_p_r_aw_l_l_aw_d
44.wav,f_aw_l_k_q_aw_z_th_aw_t
45.wav,n_aw_n_hh_aw_s_d_aw_t
46.wav,z_ay_g_ay_hh_ay_n_d
47.wav,q_ay_m_m_ay_t_r_ay_k_s
48.wav,f_ay_s_s_l_ay_w_ay_f
49.wav,d_ay_d_s_t_ay_l_n_ay_n_th
50.wav,k_r_ay_b_s_k_ay_r_ay_p_s
51.wav,v_ay_v_d_s_ay_n_b_ay_z
52.wav,p_ay_jh_ay_sh_ay_n
53.wav,n_eh_n_m_eh_k_g_eh
54.wav,f_l_eh_sh_v_eh_l_k_eh_r
55.wav,hh_eh_l_w_eh_l_m_d_q_eh_g_z
56.wav,y_eh_s_s_t_eh_d_b_eh_l_t
57.wav,p_eh_r_z_sh_eh_t_w_eh_n
58.wav,s_eh_p_t_d_r_eh_m_t_d_eh_v
59.wav,sh_eh_f_s_dh_eh_r_f_eh
60.wav,p_w_eh_r_r_eh_k_t_ch_eh_r_z
61.wav,er_v_dh_er_w_er_th
62.wav,m_er_dh_er_d_sh_er
63.wav,z_er_hh_er_t_s_ch_er_p
64.wav,s_er_d_w_er_l_d_z_v_er_s
65.wav,g_er_z_t_q_er_n_d_hh_er_t
66.wav,n_er_v_t_er_y_er_z
67.wav,s_l_er_p_y_er_f_er_g
68.wav,d_er_z_f_er_m_dh_er_z
69.wav,p_er_k_b_er_n_k_er_b
70.wav,hh_ey_l_s_r_ey_sh_ey_p
71.wav,ch_ey_n_jh_d_p_ey_v_d_f_ey_d_z
72.wav,s_ey_f_w_ey_z_ey_m
73.wav,ey_dh_ey_y_ey
74.wav,n_ey_k_s_k_ey_v_d_g_ey_jh
75.wav,p_l_ey_n_z_k_r_ey_hh_ey_v
76.wav,f_ey_th_b_ey_k_q_ey_v
77.wav,m_ey_t_ey_s_d_ey_b
78.wav,v_ey_g_f_ey_w_ey_v
79.wav,s_w_ih_f_t_k_ih_l_q_ih_g_z
80.wav,z_ih_p_m_ih_v_ih_n_s
81.wav,n_ih_sh_t_ng_ih_ng_w_ih_th
82.wav,p_ih_d_n_ih_k_w_ih_dh
83.wav,d_ih_k_t_dh_ih_s_b_r_ih_m
84.wav,th_ih_n_f_ih_r_s_ih_z
85.wav,s_t_ih_t_l_ih_ng_l_ih_f_t
86.wav,b_r_ih_ng_dh_ih_n_sh_ih_f_t
87.wav,ch_ih_ng_g_ih_r_dh_ih
88.wav,y_ih_r_hh_ih_ch_t_jh_ih_g
89.wav,p_ih_m_p_b_ih_n_r_ih_jh
90.wav,p_iy_w_iy_d_k_iy_m
91.wav,iy_z_r_iy_m_l_iy_sh
92.wav,p_l_iy_z_d_m_iy_t_b_iy_d_z
93.wav,v_iy_jh_iy_ch_iy_v
94.wav,sh_iy_b_r_iy_dh_d_dh_iy
95.wav,iy_y_iy_g_iy
96.wav,s_iy_k_p_l_iy_f_iy_s_t
97.wav,z_iy_hh_iy_t_n_iy_th
98.wav,hh_iy_r_z_s_t_iy_n_k_q_iy_v_z
99.wav,b_l_iy_p_d_iy_l_z_w_iy_l
100.wav,g_r_ow_v_m_ow_k_m_ow_s
101.wav,k_ow_p_dh_ow_b_ow
102.wav,k_l_ow_dh_z_hh_ow_m_d_q_ow_d
103.wav,t_ow_t_p_ow_w_ow_k
104.wav,s_ow_y_ow_sh_ow_l
105.wav,ng_ow_hh_ow_f_ow_n
106.wav,d_ow_n_t_g_ow_z_n_ow_z
107.wav,b_oy_z_jh_oy_n_g_oy
108.wav,p_uh_t_sh_uh_r_w_uh_l_f
109.wav,g_uh_d_z_y_uh_ng_t_uh_r_z
110.wav,b_uh_sh_k_uh_d_l_uh_k
111.wav,f_y_uw_d_uw_m_b_uw_s_t
112.wav,v_y_uw_z_l_uw_k_k_y_uw_b
113.wav,m_uw_dh_m_y_uw_sh_uw_t
114.wav,p_uw_r_g_r_uw_v_r_uw_f
115.wav,th_r_uw_g_r_uw_y_uw_th
116.wav,f_r_uw_t_q_uw_l_d_t_uw_n
117.wav,b_y_uw_w_uw_p_f_uw_l_d
118.wav,s_uw_dh_y_uw_z_n_uw
119.wav,k_uw_hh_uw_m_g_r_uw_p
120.wav,k_aa_s_t_w_aa_n_t_s_t_aa_r_t
121.wav,p_r_aa_m_aa_n_m_aa_m_z
122.wav,w_aa_z_s_t_aa_p_k_aa_r_d_z
123.wav,s_aa_r_b_aa_d_aa_n_t
124.wav,n_aa_t_g_aa_n_s_k_aa_r_d
125.wav,k_ae_n_t_hh_ae_n_d_z_dh_ae_t_s
126.wav,y_ae_y_ae_n_y_ae
127.wav,f_ae_s_t_k_ae_n_t_s_ae
128.wav,dh_ae_t_y_ae_m_m_ae_t
129.wav,z_ae_k_dh_ae_t_b_ae_ng_k
130.wav,b_l_ae_s_t_s_t_ae_n_d_z_b_r_ae_n_d
131.wav,hh_ae_d_dh_ae_t_dh_ae_n
132.wav,s_l_ah_m_z_dh_ah_l_ah_s_t
133.wav,k_r_ah_m_dh_ah_s_hh_ah_m_p
134.wav,b_ah_m_sh_ah_n_d_ah_n_t
135.wav,z_ah_n_d_dh_ah_f_r_ah_n
136.wav,t_ah_ch_t_s_ah_k_t_ah_p
137.wav,b_l_ah_n_dh_ah_m_ah_n_z
138.wav,m_ah_n_l_ah_v_m_ah_d
139.wav,s_ah_n_t_m_ah_n_d_t_ah_l_d
140.wav,d_ah_n_d_n_ah_s_t_w_ah_t
141.wav,b_ah_t_s_dh_ah_m_k_l_ah_b
142.wav,m_ah_n_ah_n_d_k_ah_n_d_z
143.wav,m_ah_s_t_f_r_ah_n_t_ah_s_t
144.wav,f_r_ah_m_w_ah_n_s_b_ah_t_s
145.wav,t_r_ah_s_t_ah_v_dh_ah_m
146.wav,p_ah_n_d_y_ah_n_w_ah_l
147.wav,z_ah_n_t_s_jh_ah_s_t_s_l_ah_g
148.wav,s_t_ah_d_z_g_l_ah_n_d_w_ah_t_s
149.wav,s_ah_n_d_s_ah_m_f_l_ah_d_z
150.wav,w_ah_t_y_ah_ng_d_r_ah_ng_k
151.wav,jh_ah_s_t_ah_n_d_l_ah_v_d
152.wav,ah_n_t_dh_ah_w_ah_t
153.wav,m_ao_l_y_ao_r_s_t_ao_l_d
154.wav,m_ao_r_n_y_ao_r_k_f_l_ao_r
155.wav,sh_ao_r_t_s_ao_l_t_l_ao_ng
156.wav,p_ao_r_y_ao_r_f_ao_r_m
157.wav,hh_ao_n_t_y_ao_r_hh_ao_r_n_z
158.wav,f_ao_l_z_ao_l_w_ao_k_t
159.wav,g_r_aw_n_d_b_aw_t_b_aw_n_s
160.wav,k_aw_n_t_n_aw_n_d_aw_n
161.wav,ay_m_l_ay_z_d_f_r_ay_d
162.wav,th_r_ay_v_f_ay_n_d_m_ay_s
163.wav,m_ay_l_d_m_ay_n_d_ay_m
164.wav,w_ay_l_l_ay_t_s_n_ay_t
165.wav,d_ay_s_m_ay_l_ay_f
166.wav,r_ay_t_ay_m_z_l_ay_k_t
167.wav,k_r_ay_s_t_l_ay_n_m_ay_l_d
168.wav,k_ay_t_m_ay_m_ay_n_d
169.wav,ay_l_m_ay_n_s_ay_d_z
170.wav,b_eh_t_s_g_eh_n_s_t_eh_r_z
171.wav,f_r_eh_n_d_z_g_eh_t_s_s_eh_l_f
172.wav,d_eh_n_t_l_eh_t_m_eh_n_d
173.wav,dh_eh_m_b_eh_g_d_s_eh_k_s
174.wav,l_eh_f_t_s_t_eh_n_t_t_r_eh_s
175.wav,s_w_eh_p_t_s_p_eh_n_d_dh_eh_n
176.wav,s_eh_n_eh_v_r_eh_s
177.wav,w_eh_s_t_dh_eh_r_z_b_eh_s_t
178.wav,d_r_eh_s_t_t_eh_l_s_eh_d
179.wav,m_eh_n_d_w_eh_n_y_eh_l
180.wav,y_er_n_d_er_s_t_hh_er_d
181.wav,f_l_er_t_f_er_s_t_g_er_l
182.wav,b_ey_b_ey_t_m_ey_k_s
183.wav,b_r_ey_n_z_p_l_ey_s_t_b_r_ey_k
184.wav,s_t_ey_n_d_t_ey_k_s_t_r_ey_n_t
185.wav,t_ih_n_dh_ih_s_ih_z
186.wav,l_ih_t_s_t_r_ih_l_s_k_ih_n
187.wav,d_r_ih_ng_m_ih_n_l_ih_s
188.wav,k_ih_ng_ih_n_t_ih_ng_z
189.wav,s_l_ih_p_s_d_ih_ng_t_ih_t
190.wav,s_ih_n_p_r_ih_t_k_r_ih_p_s
191.wav,ng_ih_ng_hh_ih_t_b_ih_ch
192.wav,v_ih_ng_y_ih_r_z_s_ih_t
193.wav,s_p_ih_n_s_ih_m_th_ih_ng_z
194.wav,n_ih_t_w_ih_t_s_w_ih_sh_t
195.wav,g_ih_v_z_ih_k_s_p_ih_t
196.wav,w_ih_l_ih_n_m_ih_s_t
197.wav,s_t_ih_l_w_ih_n_d_ih_t_s
198.wav,th_ih_ng_k_ih_t_s_ih_ng
199.wav,p_ih_ng_n_ih_ng_s_t_ih_r
200.wav,ih_t_s_b_ih_l_d_b_ih_k
201.wav,f_r_iy_k_t_w_iy_r_m_iy_t_s
202.wav,f_iy_l_d_b_iy_s_t_m_iy_n
203.wav,k_iy_p_d_r_iy_m_n_iy_d_z
204.wav,s_l_iy_v_m_iy_l_m_iy_z
205.wav,w_iy_k_s_k_r_iy_m_z_s_w_iy_t
206.wav,k_l_iy_n_t_r_iy_t_s_m_iy
207.wav,f_l_ow_n_l_ow_n_t_r_ow_l_d
208.wav,w_ow_n_t_w_ow_n_t_s_ow_l_d
209.wav,hh_ow_s_t_d_ow_n_t_b_ow_t
210.wav,d_ow_n_t_n_ow_n_hh_ow_l
211.wav,y_uh_r_t_w_uh_d_y_uh_r_z
212.wav,y_uw_z_d_t_uw_m_s_t_uw_p
213.wav,t_uw_d_k_y_uw_g_r_uw_m
214.wav,f_uw_l_y_uw_n_uw_z
215.wav,n_uw_n_y_uw_m_p_y_uw
216.wav,p_y_uw_k_d_y_uw_d_z_y_uw_s
217.wav,l_uw_n_t_uw_s_t_uw
218.wav,y_uw_t_uw_t_t_uw_l_z
219.wav,m_uw_v_g_uw_n_z_t_uw_b
